Draw No,Draw Date,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Div1,Div2,Div3,Div4,Div5,Div6,Div7,Div1 No Win,Div2 No Win,Div3 No Win,Div4 No Win,Div5 No Win,Div6 No Win,Div7 No Win,Prize Payable,Rollover,Rollover Count,Next Estimated Jackpot,Next Guaranteed Jackpot,Total Sales,Draw Machine,Ball Set
941,2009/12/26,39,8,12,43,33,6,27,1667471,129030,3970,945,85,54,10.5,1,4,110,336,6071,9464,113159,5153071.5,0,0,1000000,0,10316677,Mooinooi,38
940,2009/12/23,24,7,28,40,31,46,2,0,233806,8048,2921,161,123,10.5,0,3,79,184,4330,5675,83739,4149088.5,0,0,1000000,0,8313829,Dimakatso,44
939,2009/12/19,22,17,21,18,45,40,37,1083587,670792,4577,1484,103,76,10.5,2,1,124,278,6477,8774,127032,6485857,0,0,1000000,0,12987549,Dimakatso,29
938,2009/12/16,48,33,9,36,40,10,17,0,130356,8011,1930,146,88,10.5,0,4,59,207,3565,5866,64910,3111836,0,0,1000000,0,6236262,Tsakani,40
937,2009/12/12,7,5,31,20,26,17,40,0,1033176,5711,1889,118,100,10.5,0,1,164,419,8742,10307,151377,6412985.5,0,0,1000000,0,12834768,Dimakatso,49
936,2009/12/09,19,47,1,37,36,41,4,0,812669,9095,2818,183,125,10.5,0,1,81,221,4427,6493,88723,4725499.5,0,0,1000000,0,9458229,Mooinooi,29
935,2009/12/05,41,45,21,28,20,22,47,0,455375,9600,2715,166,127,10.5,0,2,86,257,5460,7151,108753,5390548.5,0,0,1000000,0,10795501,Dimakatso,29
934,2009/12/02,20,9,18,44,17,32,41,1380153,427190,3346,1034,71,67,10.5,1,1,108,254,5993,6360,104531,4380545.5,0,0,1000000,0,8767312,Dimakatso,24
933,2009/11/28,43,2,49,30,20,28,38,0,517037,8012,2297,149,104,10.5,0,2,117,345,6911,9879,130864,6195170,0,0,1000000,0,12412401,Tsakani,32
932,2009/11/25,30,16,44,25,10,12,37,0,168915,5815,2087,124,98,10.5,0,3,79,186,4066,5119,74967,3147311.5,0,0,1000000,0,6310242,Tsakani,54
931,2009/11/21,20,25,12,40,33,27,49,0,159105,5151,1890,118,96,10.5,0,4,112,258,5373,6573,92234,3934431,0,0,1000000,0,7884784,Mooinooi,45
930,2009/11/18,39,26,21,30,25,45,46,0,122097,9035,3254,178,133,10.5,0,4,49,115,2742,3666,51882,2825728,0,0,1000000,0,5653920,Dimakatso,29
929,2009/11/14,23,33,18,30,28,1,43,1385860,142985,3299,510,69,46,10.5,1,3,110,517,6178,9193,99885,4339327.5,0,0,1000000,0,8696919,Tsakani,41
928,2009/11/11,29,15,11,23,38,26,48,1034359,320158,2736,891,72,58,10.5,1,1,99,221,4432,5454,76110,3256883,0,0,1000000,0,6523831,Mooinooi,27
927,2009/11/07,21,4,17,20,14,34,3,1439054,222710,3731,1079,76,60,10.5,1,2,101,254,5827,7362,103974,4511670,0,0,1000000,0,9036094.5,Tsakani,24
926,2009/11/04,27,16,36,23,21,15,3,0,290714,7529,2025,134,94,10.5,0,2,70,220,4310,6162,78686,3536929,0,0,1000000,0,7086325,Dimakatso,40
